"Gene","Contig","Coordinate span","Number of CDS-like intervals","Number of 100% male-zero CDS-like intervals","All CDS-like intervals 100% male-zero?","Max identity (%)","Max alignment length","Notes"
"vangl2.L","tig00003177","1317786-1318393","1","1","yes","97.858","607","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"vangl2.S","tig00003177","1317786-1318393","1","1","yes","94.399","607","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"nhlh1.L","tig00003177","1444087-1444473","1","1","yes","98.446","386","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"nhlh1.S","tig00003177","1444087-1444473","1","1","yes","93.782","386","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"tnfaip8l2.L","tig00003177","2174284-2174844","1","1","yes","96.786","560","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"tnfaip8l2.S","tig00003177","2174284-2174844","1","1","yes","93.571","560","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"vps72.L","tig00003177","2211306-2211663","1","1","yes","95.000","360","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"nop9.L","tig00003177","2228154-2228603","1","1","yes","96.018","452","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"khdc4.L","tig00003177","2235651-2236018","1","1","yes","90.736","367","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"mindy1.L","tig00003177","2766907-2767455","1","1","yes","91.971","548","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"vsig8.L","tig00003177","3224239-3224551","1","1","yes","97.436","312","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"XB5897271.L","tig00003177","4901742-4902053","1","1","yes","92.283","311","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"nr2f5.S","tig00004591","5261470-5274850","2","2","yes","95.038","524","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"adamtsl4.L","tig00004591","6700720-6704782","3","3","yes","97.468","1374","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"adamtsl4.S","tig00004591","6701101-6701417","1","1","yes","96.203","316","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"setdb1.L","tig00004591","7654019-7664035","3","3","yes","96.886","578","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"MGC108147.L","tig00004591","8217648-8218267","1","1","yes","91.707","627","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"XB5856184.L","tig00004591","8288582-8289237","1","1","yes","96.031","655","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"apcs.L","tig00004591","8369529-8383660","2","2","yes","93.569","629","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
"v2rb-1.L","tig00004591","9613392-9626551","2","2","yes","97.126","870","All detected high-quality X. laevis CDS-like intervals for this gene in the region of interest have 100% zero coverage in male X. boumbaensis WGS mapped to the female reference."
